Date,Min Delay,Min Gap,Hour,Month,DayFriday,DayMonday,DaySaturday,DaySunday,DayThursday,DayTuesday,DayWednesday
2023-01-03T00:00:00Z,15,18,19,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,0,0,19,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,5,8,19,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,0,0,20,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,0,0,20,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,0,0,20,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,4,7,20,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,0,0,20,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,0,0,22,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,0,0,22,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,3,7,22,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,0,0,23,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,5,10,23,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,0,0,0,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,0,0,0,January,0,0,0,0,0,1,0
2023-01-04T00:00:00Z,0,0,2,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,7,12,9,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,2,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,8,13,10,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,3,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,6,11,19,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,4,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,22,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,3,6,6,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,6,January,0,0,0,0,0,0,1
2023-01-04T00:00:00Z,0,0,6,January,0,0,0,0,0,0,1
